Name,Age,Department,Role,Years_of_Experience,Skillset,Project_Success_Rate,Mentor,Mentee
Nancy Goodwin,30,Customer Service,Customer Service Executive,3,"Customer Relationship Management, Communication, Teamwork",0.89,,
Jessica Johnson,36,Customer Service,Customer Service Executive,3,"Problem Solving, Communication",0.95,,
Debbie Williams,30,Engineering,Senior Engineer,7,"Data Analysis, Java, Python, CAD Design",0.83,,
Marissa Edwards,31,Engineering,Senior Engineer,6,"Machine Learning, Data Analysis, Systems Engineering",0.66,,
Craig Monroe,49,Engineering,Senior Engineer,6,"Systems Engineering, Python",0.83,,
Megan Bernard,26,Operations,Logistics Coordinator,2,Data Analysis,0.95,,
Hunter Hogan,29,Logistics,Logistics Coordinator,1,Data Analysis,0.82,,
Kelly Baldwin,27,IT,IT Support,0,System Administration,0.5,,
Steven Scott,50,Operations,Operations Manager,13,"Project Management, Process Improvement, Teamwork, Data Analysis",0.89,,
Amber Dalton,34,Operations,Logistics Coordinator,3,"Teamwork, Project Management",0.9,,
Barry Edwards,41,Operations,Operations Manager,7,"Risk Management, Data Analysis, Teamwork, Process Improvement",0.55,,
Kayla Jones,34,Logistics,Logistics Coordinator,3,"Inventory Management, Networking, Warehouse Management",0.55,,
Isaac Shaffer,35,Logistics,Logistics Coordinator,4,"Communication, Inventory Management",0.6,,
Robert Maxwell,43,Operations,Operations Manager,7,"Risk Management, Time Management, Project Management, Teamwork",0.56,,
Kevin Stone,44,Operations,Operations Manager,9,"Teamwork, Data Analysis, Risk Management",0.68,,
Brian Kelly,29,Engineering,Junior Engineer,0,Python,0.8,,
Mark Patterson,43,Operations,Operations Manager,9,"Data Analysis, Process Improvement, Teamwork",0.8,,
Patrick Velez,26,Logistics,Logistics Coordinator,2,"Supply Chain Management, Networking",0.5,,
Miguel Wade,31,Operations,Logistics Coordinator,3,"Teamwork, Project Management, Time Management",0.98,,
Trevor Jackson,28,Logistics,Logistics Coordinator,2,Warehouse Management,0.73,,
Hunter Graham,33,Operations,Logistics Coordinator,4,"Process Improvement, Risk Management",0.66,,
Donald Tran,27,Operations,Logistics Coordinator,1,Data Analysis,0.61,,
Marcus Murphy,33,Customer Service,Customer Service Executive,3,"Conflict Resolution, Teamwork, Communication",0.66,,
Mikayla Wilson,38,Operations,Operations Manager,7,"Time Management, Data Analysis, Process Improvement, Teamwork",0.62,,
Stephanie Miles,37,Logistics,Logistics Coordinator,4,"Inventory Management, Supply Chain Management, Communication",0.96,,
Melissa Evans,28,Engineering,Junior Engineer,2,Python,0.96,,
Anthony Rangel,30,Engineering,Engineer,5,"CAD Design, Electrical Engineering",0.79,,
Sandra Owens,44,Operations,Operations Manager,8,"Risk Management, Project Management, Process Improvement, Time Management",0.75,,
Matthew Aguilar,39,Engineering,Engineer,4,"Data Analysis, Systems Engineering, CAD Design",0.7,,
Patricia Wiley,39,Logistics,Logistics Coordinator,4,"Warehouse Management, Networking, Communication",0.61,,
Brandi Mcgrath,37,Operations,Logistics Coordinator,3,"Time Management, Data Analysis, Project Management",0.78,,
Tracy Fields,26,Customer Service,Customer Service Executive,2,Teamwork,0.53,,
Katherine Duffy,46,Engineering,Senior Engineer,7,"CAD Design, Systems Engineering, Data Analysis",0.76,,
Samuel Kirby,44,Engineering,Senior Engineer,8,"Systems Engineering, Java, Data Analysis, Python",0.61,,
Anthony Benson,45,Operations,Operations Manager,7,"Data Analysis, Teamwork, Project Management",0.53,,
Heather Davis,25,Customer Service,Customer Service Executive,1,Communication,0.78,,
Christopher Johnson,43,Engineering,Senior Engineer,9,"Java, CAD Design, Python",0.76,,
Judy Clark,54,Operations,Operations Manager,10,"Project Management, Risk Management, Process Improvement, Time Management, Teamwork",0.89,,
Taylor Hoffman,49,Operations,Operations Manager,8,"Data Analysis, Risk Management, Time Management, Project Management",0.86,,
Jeffrey Jones,38,Logistics,Logistics Coordinator,4,"Networking, Supply Chain Management",0.8,,
Keith Perez,32,Engineering,Senior Engineer,6,"Systems Engineering, Electrical Engineering",0.98,,
Emily Golden DDS,33,Engineering,Engineer,3,"CAD Design, Java",0.59,,
Kristina Harris,41,Operations,Operations Manager,7,"Process Improvement, Risk Management, Data Analysis, Time Management",0.81,,
Leah Spencer,39,Logistics,Logistics Coordinator,3,"Data Analysis, Supply Chain Management",0.62,,
Michelle Anderson,46,Engineering,Senior Engineer,6,"CAD Design, Python",0.5,,
Maureen Simmons,32,Customer Service,Customer Service Executive,3,"Customer Relationship Management, Communication, Problem Solving",0.51,,
Rebecca Robertson,26,Customer Service,Customer Service Executive,0,"Problem Solving, Customer Relationship Management",0.65,,
Kimberly Perry,48,Engineering,Senior Engineer,6,"Machine Learning, Electrical Engineering, Python",0.51,,
Stephanie Osborn,26,Customer Service,Customer Service Executive,2,"Problem Solving, Communication",0.78,,
Ronald Huffman,28,Logistics,Logistics Coordinator,1,Warehouse Management,0.81,,
Cory Kline,27,Operations,Logistics Coordinator,1,Project Management,0.54,,
Brenda West,25,IT,IT Support,1,"Python, System Administration",0.69,,
Jessica Parks,31,Customer Service,Customer Service Executive,3,"Problem Solving, Teamwork",0.99,,
Leslie Ferguson,42,Operations,Operations Manager,12,"Time Management, Data Analysis, Teamwork, Process Improvement, Risk Management",0.92,,
Carolyn Mccoy,27,Logistics,Logistics Coordinator,1,Communication,0.52,,
Holly Holt,26,IT,IT Support,2,"Networking, Cybersecurity",0.94,,
Diana Everett,33,Logistics,Logistics Coordinator,4,"Supply Chain Management, Data Analysis",0.62,,
Michael Middleton,28,Logistics,Logistics Coordinator,2,"Data Analysis, Warehouse Management",0.66,,
Jeremy Armstrong,36,Logistics,Logistics Coordinator,4,"Networking, Warehouse Management, Inventory Management",0.57,,
John Owens,33,Operations,Logistics Coordinator,4,"Risk Management, Project Management",0.52,,
Brooke Sweeney,28,Engineering,Junior Engineer,1,"Systems Engineering, Electrical Engineering",0.59,,
Brandon Larson,29,IT,IT Support,2,Java,0.62,,
Rebecca Harmon,28,Logistics,Logistics Coordinator,1,Communication,0.53,,
Mr. Ronald Smith MD,32,Operations,Logistics Coordinator,3,"Risk Management, Project Management",0.54,,
Michelle Sexton,45,Operations,Operations Manager,8,"Data Analysis, Time Management, Process Improvement",0.88,,
William Brown,29,Operations,Logistics Coordinator,2,"Risk Management, Teamwork",0.86,,
Kimberly Decker,43,Engineering,Senior Engineer,9,"Electrical Engineering, Java, Systems Engineering, Data Analysis",0.54,,
Donald Adams,32,Logistics,Logistics Coordinator,3,"Inventory Management, Communication, Supply Chain Management",0.53,,
Allison Rangel,32,Customer Service,Customer Service Executive,3,"Conflict Resolution, Customer Relationship Management",0.84,,
James Miller,26,Customer Service,Customer Service Executive,0,Problem Solving,0.6,,
Kayla Winters,27,IT,IT Support,1,"Cybersecurity, System Administration",0.57,,
Wanda Vargas,32,Logistics,Logistics Coordinator,3,"Data Analysis, Networking, Communication",0.75,,
April Preston,45,Engineering,Senior Engineer,6,"Data Analysis, Java, Machine Learning",0.73,,
Veronica Cook,49,Engineering,Senior Engineer,6,"Java, Python, CAD Design",0.9,,
Michael Hardy,27,IT,IT Support,0,Networking,0.87,,
Jamie Wang,38,Operations,Logistics Coordinator,4,"Teamwork, Risk Management, Data Analysis",0.63,,
Laura Martinez,26,Logistics,Logistics Coordinator,1,"Communication, Supply Chain Management",0.94,,
Abigail Moon,30,Operations,Operations Manager,7,"Teamwork, Process Improvement, Data Analysis",0.89,,
Daniel Watson,31,Engineering,Engineer,5,"Data Analysis, Systems Engineering, Electrical Engineering",0.9,,
Jacqueline Hanson,50,Operations,Operations Manager,10,"Data Analysis, Process Improvement, Teamwork, Risk Management, Time Management",0.65,,
Bradley Smith,25,Customer Service,Customer Service Executive,1,"Conflict Resolution, Problem Solving",0.76,,
Katie Francis,31,Engineering,Senior Engineer,6,"Python, Java",0.95,,
Brendan Lloyd,37,Logistics,Logistics Coordinator,3,"Inventory Management, Warehouse Management, Communication",0.98,,
Brent Palmer,28,Customer Service,Customer Service Executive,2,Conflict Resolution,0.65,,
Crystal Carter,27,Logistics,Logistics Coordinator,2,"Inventory Management, Supply Chain Management",0.58,,
Matthew Morales,42,Engineering,Senior Engineer,7,"Systems Engineering, Python, Machine Learning, Java",0.52,,
Andrea Sanchez,39,Operations,Logistics Coordinator,3,"Process Improvement, Time Management, Teamwork",0.82,,
Robert Phillips,34,Operations,Operations Manager,7,"Data Analysis, Teamwork, Process Improvement",0.57,,
Adam Marks,32,Logistics,Logistics Coordinator,4,"Supply Chain Management, Inventory Management, Communication",0.61,,
Tiffany Edwards,29,Customer Service,Customer Service Executive,0,Teamwork,0.84,,
George Wyatt,51,Operations,Operations Manager,14,"Teamwork, Process Improvement, Project Management, Risk Management, Time Management",0.7,,
Shane Miller,27,Customer Service,Customer Service Executive,1,Teamwork,0.84,,
Allison Christensen,26,Customer Service,Customer Service Executive,2,Problem Solving,0.74,,
Rachel Cole,27,Engineering,Junior Engineer,2,"Systems Engineering, Python",0.51,,
Denise Wright,26,Customer Service,Customer Service Executive,1,"Teamwork, Conflict Resolution",0.77,,
Marissa Harmon,39,Engineering,Senior Engineer,7,"Machine Learning, Data Analysis, Java, CAD Design",0.52,,
Andrew Perkins,46,Engineering,Senior Engineer,9,"Machine Learning, Data Analysis, Java, Electrical Engineering",0.95,,
Monica Ochoa,31,Engineering,Engineer,4,"Systems Engineering, Machine Learning, Electrical Engineering",0.83,,
Paul Ewing,27,Operations,Logistics Coordinator,2,Data Analysis,0.57,,
Allison Payne,35,Operations,Logistics Coordinator,4,"Project Management, Data Analysis, Process Improvement",0.69,,
John Nichols,31,Customer Service,Customer Service Executive,3,"Communication, Problem Solving, Customer Relationship Management",0.97,,
Christopher Gross,28,Logistics,Logistics Coordinator,1,Supply Chain Management,0.75,,
Luke Woods,29,IT,IT Support,1,"Cloud Computing, Communication",0.91,,
Rodney Campbell,35,Engineering,Engineer,5,"Java, Data Analysis",0.8,,
Julie Ball,51,Operations,Operations Manager,12,"Risk Management, Project Management, Teamwork, Process Improvement",0.53,,
Christopher Malone,52,Operations,Operations Manager,11,"Teamwork, Process Improvement, Data Analysis, Project Management, Time Management",0.78,,
Julia Miller,28,IT,IT Support,0,"Java, System Administration",0.7,,
Cassandra Knapp,30,Operations,Operations Manager,7,"Data Analysis, Process Improvement, Project Management",0.88,,
Pedro Garcia,49,Engineering,Senior Engineer,6,"Machine Learning, Data Analysis",0.71,,
Morgan Gonzalez,39,Logistics,Logistics Coordinator,4,"Data Analysis, Networking, Supply Chain Management",0.89,,
Suzanne Johnson,29,IT,IT Support,0,"Python, Communication",0.89,,
Jennifer King,25,Operations,Logistics Coordinator,1,Data Analysis,0.52,,
Crystal Miller,38,Operations,Logistics Coordinator,3,"Process Improvement, Project Management",0.62,,
Cameron Moore,27,IT,IT Support,1,"Cloud Computing, System Administration",0.72,,
Angela Cooper,38,Operations,Logistics Coordinator,4,"Risk Management, Project Management",0.75,,
Katie Velasquez,37,Operations,Operations Manager,7,"Data Analysis, Process Improvement, Time Management",0.64,,
Henry Lambert,26,Operations,Logistics Coordinator,2,Data Analysis,0.75,,
Gary Houston,27,IT,IT Support,0,Java,0.88,,
Eric Ramirez,34,Engineering,Engineer,5,"Python, Systems Engineering, CAD Design",0.61,,
David Snyder,37,Engineering,Senior Engineer,6,"Systems Engineering, Data Analysis, CAD Design",0.93,,
William Wells,39,Engineering,Engineer,3,"Python, Systems Engineering, Electrical Engineering",0.65,,
Anthony Henderson II,25,Customer Service,Customer Service Executive,2,"Customer Relationship Management, Problem Solving",0.93,,
Kayla Holmes,45,Operations,Operations Manager,10,"Project Management, Process Improvement, Data Analysis, Time Management",0.76,,
Katrina Kennedy,38,Logistics,Logistics Coordinator,3,"Data Analysis, Supply Chain Management, Inventory Management",0.63,,
Holly Garrett,46,Operations,Operations Manager,12,"Time Management, Teamwork, Project Management, Risk Management, Process Improvement",0.96,,
Paul Nelson,28,Customer Service,Customer Service Executive,1,Communication,0.96,,
Eric Vasquez,33,Engineering,Engineer,4,"Machine Learning, CAD Design, Data Analysis",0.98,,
Beverly Gill,28,IT,IT Support,1,"Java, Cybersecurity",0.73,,
Donna Aguilar,26,IT,IT Support,0,Python,0.89,,
William Gilbert,33,Operations,Operations Manager,7,"Data Analysis, Risk Management, Process Improvement",0.77,,
Duane Brooks,45,Operations,Operations Manager,9,"Risk Management, Time Management, Project Management",0.84,,
Patricia Chen,35,Operations,Logistics Coordinator,3,"Process Improvement, Project Management",0.82,,
Donald Morton,37,Logistics,Logistics Coordinator,4,"Supply Chain Management, Communication, Inventory Management",0.66,,
Gregory Morris,52,Operations,Operations Manager,12,"Time Management, Project Management, Teamwork, Risk Management, Data Analysis, Process Improvement",0.84,,
Amanda York,26,IT,IT Support,1,"Communication, Python",0.89,,
Alicia Lane,41,Operations,Operations Manager,11,"Teamwork, Process Improvement, Data Analysis, Project Management, Risk Management, Time Management",0.8,,
David Stewart,35,Logistics,Logistics Coordinator,4,"Networking, Communication",0.71,,
Blake Wilson,47,Operations,Operations Manager,7,"Teamwork, Process Improvement, Project Management",0.54,,
Kathy Montgomery,46,Operations,Operations Manager,7,"Risk Management, Project Management, Teamwork, Time Management",0.95,,
Stephanie Walker,37,Engineering,Engineer,4,"Python, Java",0.83,,
Bryan Pineda,35,Operations,Operations Manager,7,"Risk Management, Time Management, Process Improvement, Data Analysis",0.76,,
Sydney Smith,55,Operations,Operations Manager,12,"Risk Management, Teamwork, Project Management, Time Management",0.88,,
Johnny Austin,39,Logistics,Logistics Coordinator,4,"Inventory Management, Data Analysis, Networking",0.74,,
Gregg Smith,26,Operations,Logistics Coordinator,2,"Project Management, Data Analysis",0.66,,
Nathan Martinez,44,Operations,Operations Manager,10,"Project Management, Data Analysis, Risk Management, Process Improvement, Time Management, Teamwork",0.67,,
Michael Arnold,45,Operations,Operations Manager,10,"Data Analysis, Risk Management, Time Management, Process Improvement",0.7,,
Amanda Cross,41,Engineering,Senior Engineer,6,"Systems Engineering, Data Analysis, Python",0.74,,
Jonathan Young,35,Engineering,Senior Engineer,6,"Systems Engineering, Machine Learning",0.53,,
Melissa Ryan,37,Engineering,Senior Engineer,6,"Electrical Engineering, Java",0.96,,
Vanessa Sanders,30,Engineering,Engineer,3,"Data Analysis, CAD Design",0.79,,
Kelsey Parker,27,Engineering,Junior Engineer,0,Electrical Engineering,0.79,,
Andrea Carter,32,Operations,Operations Manager,7,"Data Analysis, Process Improvement, Time Management, Risk Management",0.77,,
Mrs. Ashley Le,25,IT,IT Support,0,Python,0.56,,
Debbie Salinas,49,Operations,Operations Manager,10,"Process Improvement, Project Management, Teamwork, Data Analysis",0.79,,
Brandon Henry,48,Operations,Operations Manager,12,"Teamwork, Time Management, Risk Management, Project Management, Data Analysis",0.75,,
Denise Clark,42,Operations,Operations Manager,12,"Project Management, Risk Management, Time Management, Teamwork, Data Analysis, Process Improvement",0.95,,
Scott Jennings,26,IT,IT Support,0,System Administration,0.71,,
Eric Johnson,36,Engineering,Senior Engineer,7,"CAD Design, Machine Learning, Electrical Engineering",0.98,,
Mr. Scott Hancock,44,Engineering,Senior Engineer,6,"Systems Engineering, Python, Machine Learning",0.87,,
Daniel Daniels,30,Operations,Logistics Coordinator,3,"Process Improvement, Data Analysis, Time Management",0.73,,
Mary Randall,28,Logistics,Logistics Coordinator,1,"Inventory Management, Communication",0.51,,
Julie Miller,35,Operations,Logistics Coordinator,4,"Process Improvement, Risk Management",0.84,,
Malik Brown,25,Customer Service,Customer Service Executive,2,"Communication, Teamwork",0.64,,
Julia Adams,26,IT,IT Support,0,System Administration,0.75,,
Jacqueline Gray,25,IT,IT Support,1,Networking,0.68,,
Daniel Vargas,41,Engineering,Senior Engineer,9,"Electrical Engineering, Machine Learning, Java",0.99,,
John Williams,45,Engineering,Senior Engineer,8,"Java, CAD Design, Data Analysis, Electrical Engineering",0.62,,
Matthew Reynolds,36,Operations,Operations Manager,7,"Time Management, Process Improvement, Project Management",0.6,,
Mrs. Ann Fields DDS,35,Logistics,Logistics Coordinator,3,"Supply Chain Management, Networking",0.52,,
Brian Molina,37,Engineering,Engineer,3,"Python, Machine Learning, Data Analysis",0.59,,
Kevin Michael,36,Operations,Logistics Coordinator,3,"Process Improvement, Teamwork, Risk Management",0.63,,
Daniel Ryan,49,Operations,Operations Manager,11,"Teamwork, Risk Management, Process Improvement, Project Management",0.67,,
Robert Schwartz,42,Engineering,Senior Engineer,7,"Machine Learning, Systems Engineering, Python, Electrical Engineering",0.93,,
Karen Silva,26,Engineering,Junior Engineer,2,"CAD Design, Python",0.93,,
Alicia Williams,36,Logistics,Logistics Coordinator,4,"Communication, Networking",0.78,,
Alicia Valenzuela PhD,52,Operations,Operations Manager,10,"Time Management, Risk Management, Data Analysis, Teamwork, Process Improvement, Project Management",0.76,,
Stephanie King,39,Engineering,Engineer,5,"Electrical Engineering, CAD Design, Java",0.63,,
Nancy Wood,28,Logistics,Logistics Coordinator,2,Warehouse Management,0.72,,
Michael Lawson,33,Engineering,Senior Engineer,7,"CAD Design, Java, Systems Engineering, Python",0.73,,
Christopher Phillips,26,Customer Service,Customer Service Executive,0,"Conflict Resolution, Customer Relationship Management",0.63,,
Patrick Sims,49,Operations,Operations Manager,12,"Risk Management, Process Improvement, Project Management, Time Management, Data Analysis, Teamwork",0.93,,
Willie Martin,39,Engineering,Engineer,3,"Systems Engineering, Electrical Engineering, Machine Learning",0.53,,
Tony Mitchell,27,Customer Service,Customer Service Executive,0,Communication,0.61,,
Fernando Schmitt,42,Operations,Operations Manager,11,"Process Improvement, Project Management, Time Management, Teamwork, Risk Management, Data Analysis",0.74,,
Dana Chase,49,Operations,Operations Manager,8,"Project Management, Teamwork, Data Analysis, Process Improvement",0.72,,
Jennifer Mitchell,27,IT,IT Support,2,"Cybersecurity, System Administration",0.86,,
Sarah Turner,36,Logistics,Logistics Coordinator,3,"Supply Chain Management, Warehouse Management, Communication",0.88,,
William Dillon,25,IT,IT Support,0,"System Administration, Networking",0.62,,
Amy Salinas,31,Engineering,Engineer,3,"Electrical Engineering, Python",0.96,,
Lisa Cabrera,35,Operations,Logistics Coordinator,4,"Data Analysis, Risk Management",0.9,,
Christine Farrell,27,IT,IT Support,2,"Cloud Computing, System Administration",0.75,,
Tammy Mullen,40,Operations,Operations Manager,9,"Teamwork, Project Management, Risk Management",0.51,,
Joseph Tyler,27,Engineering,Junior Engineer,2,"Systems Engineering, Java",0.74,,
Russell Marquez,45,Operations,Operations Manager,8,"Process Improvement, Teamwork, Time Management, Data Analysis",0.9,,
Angela Brooks,38,Logistics,Logistics Coordinator,3,"Supply Chain Management, Inventory Management, Networking",0.85,,
Nicholas Fernandez,47,Engineering,Senior Engineer,6,"Electrical Engineering, Systems Engineering, Machine Learning",0.96,,
Arthur Willis,41,Operations,Operations Manager,7,"Risk Management, Time Management, Process Improvement",0.66,,
Matthew Davis,26,Customer Service,Customer Service Executive,0,"Customer Relationship Management, Problem Solving",0.87,,
Michelle Lopez,26,Operations,Logistics Coordinator,1,Time Management,0.9,,
Daniel Jenkins,27,IT,IT Support,0,"Python, Networking",0.73,,
Jaime Hernandez,46,Engineering,Senior Engineer,7,"CAD Design, Machine Learning, Systems Engineering",0.69,,
Mark Shepherd,32,Operations,Logistics Coordinator,4,"Risk Management, Project Management",0.7,,
Sarah Gomez,48,Engineering,Senior Engineer,7,"Data Analysis, Java, Python",0.8,,
Marie Chambers,33,Logistics,Logistics Coordinator,4,"Supply Chain Management, Data Analysis, Networking",0.73,,
George Smith,27,Engineering,Junior Engineer,1,"Machine Learning, Python",0.95,,
Christopher Cuevas,48,Engineering,Senior Engineer,7,"Java, Electrical Engineering, Systems Engineering, Machine Learning",0.58,,
Jessica Roberson,27,IT,IT Support,1,Cybersecurity,0.61,,
Cassandra Roy,49,Operations,Operations Manager,7,"Risk Management, Project Management, Data Analysis",0.96,,
Joseph Patterson,27,Logistics,Logistics Coordinator,2,"Inventory Management, Data Analysis",0.89,,
Juan Kim,46,Engineering,Senior Engineer,9,"Machine Learning, Systems Engineering, Electrical Engineering",0.8,,
Leah Reed,26,Customer Service,Customer Service Executive,2,Communication,0.68,,
Stephanie Hill,52,Operations,Operations Manager,12,"Project Management, Process Improvement, Teamwork, Data Analysis, Time Management",0.65,,
Jonathan Lane,37,Engineering,Engineer,5,"Machine Learning, Data Analysis, Systems Engineering",0.94,,
Juan Porter,33,Operations,Operations Manager,7,"Data Analysis, Time Management, Teamwork, Project Management",0.68,,
Rhonda Rush,33,Operations,Logistics Coordinator,4,"Project Management, Risk Management",0.64,,
Nicole Lynn,34,Engineering,Senior Engineer,7,"Data Analysis, Java, Systems Engineering, CAD Design",0.51,,
Mary Frederick,54,Operations,Operations Manager,10,"Project Management, Data Analysis, Teamwork, Process Improvement, Time Management",0.89,,
Justin Fowler,53,Operations,Operations Manager,13,"Time Management, Data Analysis, Teamwork, Project Management, Risk Management",0.72,,
Amy Hall,46,Operations,Operations Manager,8,"Time Management, Teamwork, Data Analysis",0.62,,
Christine Frank,37,Operations,Logistics Coordinator,4,"Project Management, Data Analysis, Risk Management",0.83,,
Breanna Davis,43,Engineering,Senior Engineer,7,"Java, CAD Design, Electrical Engineering",0.74,,
Paul Garcia,34,Engineering,Engineer,5,"Data Analysis, CAD Design, Electrical Engineering",0.89,,
Roy Love,25,Customer Service,Customer Service Executive,1,"Problem Solving, Communication",0.72,,
Joseph Collins,27,Customer Service,Customer Service Executive,0,"Problem Solving, Teamwork",0.94,,
Duane Cummings,27,IT,IT Support,0,"Communication, System Administration",0.7,,
Lauren Miller,28,Customer Service,Customer Service Executive,1,Conflict Resolution,0.7,,
Eric Spence,35,Engineering,Senior Engineer,7,"Java, Systems Engineering, CAD Design, Electrical Engineering",0.73,,
Andrew Barron,49,Engineering,Senior Engineer,7,"Electrical Engineering, Java, Machine Learning",0.75,,
David Miller,47,Engineering,Senior Engineer,8,"Data Analysis, Java, Machine Learning",0.83,,
Barbara Morrison,45,Engineering,Senior Engineer,6,"CAD Design, Java, Electrical Engineering",0.56,,
Katelyn Holden,27,Engineering,Junior Engineer,1,Java,0.76,,
Amber Ortiz,28,IT,IT Support,1,"Python, Cybersecurity",0.51,,
William Foster,27,Customer Service,Customer Service Executive,0,"Problem Solving, Teamwork",0.89,,
Nicholas Barnett,34,Engineering,Senior Engineer,6,"Machine Learning, Data Analysis, Python",0.79,,
Thomas Jackson,36,Engineering,Engineer,4,"Python, Machine Learning, Systems Engineering",0.62,,
Kelli Collins,35,Operations,Logistics Coordinator,4,"Process Improvement, Risk Management, Project Management",0.55,,
Mary Molina,25,Customer Service,Customer Service Executive,1,"Conflict Resolution, Problem Solving",0.79,,
Cindy Combs,30,Engineering,Engineer,4,"Machine Learning, Electrical Engineering",0.89,,
John Williams,27,IT,IT Support,0,"Java, Communication",0.86,,
Peter Nicholson,32,Engineering,Senior Engineer,7,"CAD Design, Java, Machine Learning",0.79,,
Paul Rivera,30,Operations,Logistics Coordinator,4,"Data Analysis, Time Management, Teamwork",0.87,,
Sarah Ward,33,Customer Service,Customer Service Executive,3,"Customer Relationship Management, Teamwork, Communication",0.91,,
Angela Chapman,34,Operations,Operations Manager,7,"Time Management, Project Management, Data Analysis",0.85,,
Edward Evans,32,Operations,Operations Manager,7,"Teamwork, Data Analysis, Process Improvement",0.62,,
Chelsea Schmitt,48,Operations,Operations Manager,7,"Project Management, Process Improvement, Risk Management, Time Management",0.65,,
Charles Richardson,37,Engineering,Senior Engineer,7,"Machine Learning, Data Analysis, CAD Design, Python",0.96,,
Ruth Bridges,36,Logistics,Logistics Coordinator,3,"Warehouse Management, Data Analysis",0.53,,
Gary Bowman,48,Engineering,Senior Engineer,9,"Python, CAD Design, Machine Learning",0.57,,
Kevin Nelson,31,Logistics,Logistics Coordinator,4,"Inventory Management, Data Analysis",0.52,,
James Jones,25,Logistics,Logistics Coordinator,2,Data Analysis,0.66,,
Lisa Murphy,25,Customer Service,Customer Service Executive,1,"Teamwork, Conflict Resolution",0.92,,
Craig Steele,50,Operations,Operations Manager,11,"Data Analysis, Process Improvement, Project Management, Time Management, Teamwork, Risk Management",0.68,,
Tonya Bonilla,35,Logistics,Logistics Coordinator,4,"Networking, Inventory Management, Communication",0.68,,
Vanessa Mckinney,45,Engineering,Senior Engineer,7,"Machine Learning, CAD Design, Java",0.57,,
Timothy Moore,49,Operations,Operations Manager,9,"Time Management, Project Management, Risk Management",0.93,,
Sara Lynn,36,Operations,Logistics Coordinator,4,"Time Management, Data Analysis, Process Improvement",0.9,,
Jesus Washington,42,Engineering,Senior Engineer,8,"Electrical Engineering, Python, Systems Engineering",0.54,,
Charlotte Carter,26,Engineering,Junior Engineer,1,Java,0.7,,
Thomas Webb,31,Operations,Operations Manager,7,"Risk Management, Time Management, Data Analysis",0.99,,
Stephen Lopez,33,Customer Service,Customer Service Executive,3,"Teamwork, Communication",0.82,,
Shannon Torres,38,Engineering,Engineer,5,"CAD Design, Electrical Engineering, Java",0.7,,
Jaime Ross,36,Engineering,Engineer,3,"Machine Learning, CAD Design",0.94,,
Gary Lynch,49,Engineering,Senior Engineer,6,"Data Analysis, Java, Machine Learning",0.87,,
George Miranda,29,Engineering,Junior Engineer,2,"CAD Design, Systems Engineering",0.72,,
Dana Foster,49,Operations,Operations Manager,8,"Teamwork, Risk Management, Data Analysis, Process Improvement",0.82,,
Christopher Jimenez,48,Operations,Operations Manager,8,"Time Management, Process Improvement, Teamwork, Risk Management",0.58,,
James Tate,45,Engineering,Senior Engineer,9,"Systems Engineering, Python, Machine Learning",0.86,,
Michelle Brock,41,Engineering,Senior Engineer,6,"Electrical Engineering, Data Analysis, CAD Design",0.94,,
Stacey Jimenez,48,Operations,Operations Manager,10,"Teamwork, Risk Management, Data Analysis, Project Management, Process Improvement",0.72,,
Kristen Hopkins,39,Engineering,Engineer,5,"Java, Systems Engineering, Python",0.69,,
Tammie Johnson,30,Logistics,Logistics Coordinator,3,"Networking, Supply Chain Management, Warehouse Management",0.61,,
Jennifer Ibarra,33,Operations,Logistics Coordinator,4,"Project Management, Risk Management",0.64,,
Ryan Zimmerman,28,IT,IT Support,0,"System Administration, Python",0.52,,
Miguel Martin,53,Operations,Operations Manager,13,"Teamwork, Risk Management, Time Management, Data Analysis, Project Management",0.52,,
Patrick Horne,33,Engineering,Engineer,3,"Python, Systems Engineering",0.59,,
Anthony Sheppard,33,Operations,Operations Manager,7,"Project Management, Teamwork, Process Improvement, Risk Management",0.67,,
Anna Roman,25,Engineering,Junior Engineer,0,"Data Analysis, Java",0.85,,
Lori Deleon,39,Logistics,Logistics Coordinator,4,"Supply Chain Management, Warehouse Management, Networking",0.98,,
Harry Lewis,29,Operations,Logistics Coordinator,2,Risk Management,0.78,,
Mary Fischer,47,Operations,Operations Manager,7,"Data Analysis, Project Management, Risk Management",0.83,,
Jeff Rodriguez,37,Engineering,Engineer,5,"Systems Engineering, Java",0.74,,
Linda Fitzgerald,26,IT,IT Support,2,Java,0.67,,
Larry Moran,35,Logistics,Logistics Coordinator,4,"Networking, Communication",0.54,,
Tammy Garcia,25,Engineering,Junior Engineer,1,"Systems Engineering, Electrical Engineering",0.59,,
Carlos Johnson,37,Engineering,Engineer,5,"Data Analysis, Machine Learning, CAD Design",0.82,,
Tracey Humphrey,53,Operations,Operations Manager,10,"Teamwork, Time Management, Process Improvement, Project Management",0.87,,
Katherine Flynn,55,Operations,Operations Manager,10,"Teamwork, Process Improvement, Time Management, Data Analysis, Project Management",0.59,,
James Austin,43,Engineering,Senior Engineer,8,"Java, Machine Learning, Data Analysis",0.74,,
David Kelly,49,Operations,Operations Manager,7,"Data Analysis, Process Improvement, Teamwork",0.86,,
Elizabeth Kelly,49,Operations,Operations Manager,12,"Risk Management, Time Management, Process Improvement, Teamwork",0.83,,
