Name,Age,Department,Role,Years_of_Experience,Skillset,Project_Success_Rate,Mentor,Mentee
David Fletcher,35,Engineering,Senior Engineer,6,"Systems Engineering, Python",0.51,,
Aaron Phillips,38,Operations,Operations Manager,7,"Time Management, Teamwork, Data Analysis",0.81,,
Brandon Wood,44,Operations,Operations Manager,8,"Risk Management, Project Management, Data Analysis, Teamwork",0.95,,
Beverly Simpson,30,Engineering,Senior Engineer,6,"Systems Engineering, Java, Electrical Engineering",0.83,,
Melvin Martin,28,IT,IT Support,2,Python,0.84,,
Alexandra Smith,39,Engineering,Senior Engineer,7,"Java, Data Analysis, CAD Design",0.57,,
Toni Bolton,28,Operations,Logistics Coordinator,1,Teamwork,0.72,,
Lisa Jones,25,Engineering,Junior Engineer,1,"Systems Engineering, Java",0.52,,
John Peterson,27,Engineering,Junior Engineer,2,Python,1.0,,
Justin Carroll,43,Operations,Operations Manager,12,"Data Analysis, Risk Management, Time Management, Teamwork, Process Improvement, Project Management",0.9,,
Brian Hawkins,27,Engineering,Junior Engineer,0,"CAD Design, Data Analysis",0.65,,
Marcus Brewer,48,Operations,Operations Manager,10,"Time Management, Risk Management, Data Analysis, Teamwork",0.69,,
Robert Caldwell,26,Engineering,Junior Engineer,0,"Electrical Engineering, Data Analysis",0.56,,
Robert Castaneda,42,Engineering,Senior Engineer,6,"CAD Design, Data Analysis, Python",0.97,,
Abigail Byrd,37,Engineering,Senior Engineer,6,"Electrical Engineering, CAD Design",0.73,,
Jeremy Booth,40,Operations,Operations Manager,10,"Data Analysis, Process Improvement, Time Management, Project Management, Risk Management, Teamwork",0.56,,
Charles Ellis,29,Logistics,Logistics Coordinator,2,Networking,0.9,,
Bonnie Barr,26,Engineering,Junior Engineer,0,"Python, Data Analysis",0.94,,
Devin Davis,41,Operations,Operations Manager,10,"Teamwork, Risk Management, Time Management, Data Analysis",0.7,,
Heather Jackson,36,Operations,Logistics Coordinator,3,"Data Analysis, Project Management, Risk Management",0.85,,
Michael Lopez,25,IT,IT Support,2,Java,0.97,,
Jordan Thornton,26,Engineering,Junior Engineer,1,Systems Engineering,0.68,,
Diana Thompson,26,Logistics,Logistics Coordinator,2,Inventory Management,0.63,,
Abigail Joseph,38,Engineering,Senior Engineer,6,"Python, Systems Engineering",0.71,,
Christopher Williams,50,Operations,Operations Manager,14,"Data Analysis, Teamwork, Process Improvement, Project Management, Time Management",0.54,,
Sarah Green,38,Operations,Operations Manager,7,"Data Analysis, Process Improvement, Teamwork, Time Management",0.85,,
Debra Brown,55,Operations,Operations Manager,13,"Risk Management, Teamwork, Project Management, Data Analysis, Time Management, Process Improvement",0.84,,
Dawn Davis,35,Logistics,Logistics Coordinator,4,"Warehouse Management, Communication, Networking",0.67,,
Bonnie Smith,32,Engineering,Senior Engineer,7,"Machine Learning, Electrical Engineering, Python",0.89,,
Julia Payne,32,Engineering,Engineer,5,"Machine Learning, Python, Java",0.79,,
Amanda Garcia,36,Engineering,Senior Engineer,6,"Machine Learning, Data Analysis, CAD Design",0.51,,
Gary Jones,29,Engineering,Junior Engineer,1,"Python, Electrical Engineering",0.9,,
Christopher Cabrera,27,Engineering,Junior Engineer,0,"Machine Learning, Electrical Engineering",0.71,,
Cynthia Hall,30,Engineering,Senior Engineer,7,"Data Analysis, Python, CAD Design, Machine Learning",1.0,,
Lisa Gallegos,27,IT,IT Support,1,"Java, System Administration",0.56,,
Audrey Moody,38,Operations,Logistics Coordinator,3,"Risk Management, Teamwork",0.98,,
Tiffany Green,44,Operations,Operations Manager,9,"Risk Management, Teamwork, Process Improvement",1.0,,
Christopher Foster,36,Engineering,Engineer,4,"Java, CAD Design",0.8,,
James Morris,39,Operations,Logistics Coordinator,4,"Risk Management, Project Management",0.83,,
Andrew Willis,49,Engineering,Senior Engineer,7,"CAD Design, Java, Electrical Engineering",0.76,,
Patrick Herrera,27,Operations,Logistics Coordinator,1,"Time Management, Process Improvement",0.52,,
Tina Stevenson,29,IT,IT Support,1,Python,0.54,,
Susan Gonzalez,29,IT,IT Support,0,"Cloud Computing, System Administration",0.54,,
Joshua Rodriguez,32,Engineering,Senior Engineer,7,"Java, Python, Electrical Engineering, Data Analysis",0.97,,
Jerome Bishop,30,Engineering,Engineer,3,"Machine Learning, Java, Python",0.8,,
Angela Owens,29,IT,IT Support,2,Cybersecurity,0.63,,
Kelsey Reyes,33,Customer Service,Customer Service Executive,3,"Communication, Conflict Resolution, Teamwork",0.6,,
Larry Leblanc,37,Engineering,Engineer,4,"Machine Learning, Python",0.63,,
Alicia Wright,31,Customer Service,Customer Service Executive,3,"Customer Relationship Management, Problem Solving",0.54,,
Michael Farmer,26,Operations,Logistics Coordinator,1,Teamwork,0.74,,
Amanda Wright,26,IT,IT Support,0,Python,0.53,,
Terry Gordon,28,Operations,Logistics Coordinator,1,Data Analysis,0.9,,
Kristine Morales,40,Engineering,Senior Engineer,6,"Python, Java, Data Analysis",0.7,,
Christian White,39,Logistics,Logistics Coordinator,3,"Networking, Warehouse Management, Supply Chain Management",0.55,,
Courtney Cooper,28,Customer Service,Customer Service Executive,0,"Customer Relationship Management, Teamwork",0.71,,
Emily Cummings,31,Engineering,Engineer,5,"CAD Design, Electrical Engineering, Data Analysis",0.71,,
Patty Burke,41,Engineering,Senior Engineer,6,"Python, CAD Design",0.86,,
Robert Choi,42,Operations,Operations Manager,7,"Teamwork, Risk Management, Time Management",0.92,,
David Young,47,Engineering,Senior Engineer,6,"CAD Design, Java",0.73,,
Alex Cisneros,45,Operations,Operations Manager,9,"Project Management, Risk Management, Time Management",0.84,,
Jim Morales,25,Customer Service,Customer Service Executive,0,Problem Solving,0.79,,
Justin Green,41,Operations,Operations Manager,10,"Project Management, Risk Management, Time Management, Teamwork, Data Analysis, Process Improvement",0.9,,
Christopher Gay,25,Engineering,Junior Engineer,2,"Python, Java",0.83,,
Sheri Reed,54,Operations,Operations Manager,13,"Project Management, Teamwork, Process Improvement, Data Analysis, Risk Management, Time Management",0.61,,
Brittany Pratt,49,Operations,Operations Manager,8,"Time Management, Risk Management, Teamwork, Project Management",0.88,,
Carolyn Torres,38,Operations,Operations Manager,7,"Time Management, Process Improvement, Risk Management, Project Management",0.66,,
Chloe Carpenter,25,Operations,Logistics Coordinator,1,Teamwork,0.84,,
Jordan Turner,49,Engineering,Senior Engineer,9,"CAD Design, Machine Learning, Systems Engineering, Data Analysis",0.95,,
Crystal Gordon,26,IT,IT Support,2,"Cybersecurity, Communication",0.67,,
Matthew Bruce,41,Operations,Operations Manager,8,"Teamwork, Process Improvement, Project Management, Data Analysis",0.86,,
Don Lin,26,Operations,Logistics Coordinator,1,"Teamwork, Time Management",0.85,,
Patrick Serrano,47,Engineering,Senior Engineer,8,"Machine Learning, Python, Electrical Engineering, Data Analysis",0.97,,
Alexis Thomas,27,Customer Service,Customer Service Executive,1,Customer Relationship Management,0.9,,
Anthony Johnson MD,30,Logistics,Logistics Coordinator,4,"Inventory Management, Networking, Warehouse Management",0.62,,
Aaron Brown,27,Customer Service,Customer Service Executive,1,"Teamwork, Conflict Resolution",0.71,,
Kathryn Cameron,26,Logistics,Logistics Coordinator,2,Supply Chain Management,0.51,,
Susan Le,28,Logistics,Logistics Coordinator,2,Communication,0.57,,
Toni Shaffer,28,Engineering,Junior Engineer,1,"Java, Electrical Engineering",0.84,,
Jordan Knight,39,Logistics,Logistics Coordinator,3,"Warehouse Management, Supply Chain Management",0.76,,
Erik Wilson,44,Operations,Operations Manager,8,"Risk Management, Time Management, Data Analysis, Teamwork",0.83,,
Heather Macias,39,Logistics,Logistics Coordinator,4,"Networking, Communication",0.9,,
Michael Hall II,50,Operations,Operations Manager,12,"Time Management, Risk Management, Data Analysis, Teamwork",0.76,,
Victor Jones,50,Operations,Operations Manager,14,"Risk Management, Project Management, Process Improvement, Time Management, Teamwork, Data Analysis",0.72,,
Julie Munoz,32,Operations,Operations Manager,7,"Teamwork, Risk Management, Time Management, Data Analysis",0.53,,
Ryan Gray,41,Operations,Operations Manager,9,"Risk Management, Teamwork, Process Improvement",0.78,,
Douglas Adkins,52,Operations,Operations Manager,12,"Project Management, Teamwork, Time Management, Risk Management, Data Analysis",0.94,,
Colin Perez,48,Engineering,Senior Engineer,7,"Data Analysis, Python, Electrical Engineering",0.94,,
Jose Holden,35,Operations,Logistics Coordinator,3,"Risk Management, Teamwork",0.94,,
Michael Ortiz,26,Customer Service,Customer Service Executive,2,"Problem Solving, Teamwork",0.61,,
Melissa Smith,46,Operations,Operations Manager,7,"Data Analysis, Risk Management, Project Management",0.53,,
Joshua Holmes,37,Engineering,Engineer,4,"Machine Learning, Data Analysis, Electrical Engineering",0.6,,
Jeffrey Little,45,Operations,Operations Manager,11,"Process Improvement, Data Analysis, Time Management, Project Management",0.99,,
Justin Melton,40,Operations,Operations Manager,8,"Data Analysis, Process Improvement, Risk Management",0.75,,
Mark Mosley,37,Engineering,Engineer,3,"Electrical Engineering, Systems Engineering",0.93,,
Karen Cox DVM,27,Logistics,Logistics Coordinator,2,Inventory Management,0.95,,
Tyler Zimmerman,49,Operations,Operations Manager,11,"Teamwork, Project Management, Data Analysis, Risk Management, Time Management",0.67,,
Patricia Rivera,34,Logistics,Logistics Coordinator,3,"Networking, Inventory Management",0.9,,
Catherine Martin,36,Operations,Operations Manager,7,"Project Management, Data Analysis, Process Improvement, Risk Management",0.91,,
Sydney Hickman,46,Operations,Operations Manager,11,"Data Analysis, Time Management, Process Improvement, Teamwork, Risk Management, Project Management",0.93,,
Katherine Reed,37,Operations,Logistics Coordinator,4,"Time Management, Teamwork",0.58,,
Michelle Martinez,33,Engineering,Engineer,3,"Java, CAD Design",0.59,,
Stacy Austin,51,Operations,Operations Manager,11,"Teamwork, Risk Management, Process Improvement, Data Analysis, Project Management, Time Management",0.81,,
Cindy Best,28,Customer Service,Customer Service Executive,2,Problem Solving,0.76,,
Nicole Wells,45,Operations,Operations Manager,7,"Time Management, Project Management, Process Improvement, Data Analysis",0.51,,
Miss Audrey Richardson,48,Engineering,Senior Engineer,8,"Electrical Engineering, Python, Systems Engineering, CAD Design",0.79,,
Stephen Peterson,44,Operations,Operations Manager,11,"Time Management, Risk Management, Data Analysis, Process Improvement",0.64,,
Andrea Willis,29,Operations,Logistics Coordinator,1,"Time Management, Teamwork",0.96,,
Brianna Young,27,Operations,Logistics Coordinator,2,"Time Management, Process Improvement",0.89,,
Joe Allen,37,Customer Service,Customer Service Executive,3,"Customer Relationship Management, Teamwork",0.53,,
Jake Evans,32,Engineering,Engineer,4,"CAD Design, Python",0.63,,
Todd Burns,37,Logistics,Logistics Coordinator,3,"Inventory Management, Networking, Communication",0.58,,
Willie Kirby,29,IT,IT Support,1,Java,0.72,,
Whitney Barnes,30,Logistics,Logistics Coordinator,3,"Data Analysis, Networking",0.99,,
Brandon Brown,32,Logistics,Logistics Coordinator,3,"Warehouse Management, Inventory Management, Data Analysis",0.5,,
Thomas Medina,43,Engineering,Senior Engineer,7,"Systems Engineering, Python, Machine Learning, CAD Design",0.81,,
Michael Anthony,25,Customer Service,Customer Service Executive,0,Conflict Resolution,0.55,,
Jo Ponce MD,26,IT,IT Support,1,Java,0.7,,
Alexander Jordan,28,Engineering,Junior Engineer,0,"Python, Electrical Engineering",0.99,,
Joshua Johnson,28,IT,IT Support,1,"Networking, Cloud Computing",0.7,,
William Alexander,29,Customer Service,Customer Service Executive,2,Customer Relationship Management,0.62,,
Lance Long,29,Customer Service,Customer Service Executive,2,Problem Solving,0.57,,
Julie Oliver,36,Engineering,Engineer,3,"Systems Engineering, CAD Design",0.64,,
Miguel Smith,49,Engineering,Senior Engineer,7,"Python, Systems Engineering, CAD Design, Machine Learning",0.64,,
William Malone,27,IT,IT Support,1,Java,0.93,,
Regina Sanchez,55,Operations,Operations Manager,11,"Risk Management, Time Management, Project Management, Process Improvement, Teamwork",0.61,,
Robert Beck,32,Logistics,Logistics Coordinator,3,"Supply Chain Management, Networking, Data Analysis",0.93,,
Vincent Brown,41,Operations,Operations Manager,7,"Teamwork, Project Management, Process Improvement",0.61,,
Christopher Frey,27,IT,IT Support,1,"System Administration, Cloud Computing",0.89,,
Wayne Thompson,53,Operations,Operations Manager,14,"Risk Management, Teamwork, Process Improvement, Data Analysis, Project Management, Time Management",0.75,,
Patricia Walters,29,IT,IT Support,2,"System Administration, Python",0.56,,
Amber Baker,27,IT,IT Support,1,Cybersecurity,0.59,,
Michael Thomas,39,Engineering,Engineer,3,"Machine Learning, Systems Engineering, Data Analysis",0.87,,
Christopher Williams,30,Logistics,Logistics Coordinator,4,"Networking, Data Analysis, Supply Chain Management",0.71,,
Miss Jill Lee DVM,30,Logistics,Logistics Coordinator,3,"Inventory Management, Warehouse Management",0.6,,
Brandon Rhodes,30,Engineering,Engineer,3,"Systems Engineering, Data Analysis",0.67,,
Rebecca Smith,26,Operations,Logistics Coordinator,1,Risk Management,0.65,,
Michael Brown,37,Engineering,Engineer,3,"CAD Design, Electrical Engineering",0.5,,
John Morales,42,Operations,Operations Manager,9,"Teamwork, Data Analysis, Project Management",0.93,,
Kayla Dodson,34,Engineering,Engineer,5,"Java, Systems Engineering, CAD Design",0.52,,
Michael Guzman,26,Operations,Logistics Coordinator,2,Data Analysis,0.58,,
Michael Richardson,43,Operations,Operations Manager,10,"Risk Management, Teamwork, Process Improvement, Time Management",0.61,,
William Becker,48,Engineering,Senior Engineer,6,"Systems Engineering, Electrical Engineering",0.62,,
Katherine Little,28,IT,IT Support,1,Communication,0.76,,
John Bailey MD,29,Engineering,Junior Engineer,2,Machine Learning,0.55,,
Christopher Moore,25,IT,IT Support,0,Communication,0.67,,
Barbara Benson,25,Operations,Logistics Coordinator,1,Project Management,0.62,,
Yolanda Rodriguez,29,Logistics,Logistics Coordinator,1,Inventory Management,0.89,,
Jade Cooper,28,Operations,Logistics Coordinator,1,Data Analysis,0.8,,
James Miller,29,Customer Service,Customer Service Executive,2,"Customer Relationship Management, Teamwork",0.53,,
Zachary Hoover,36,Engineering,Engineer,5,"Data Analysis, Electrical Engineering, CAD Design",0.72,,
Anthony Thomas,45,Engineering,Senior Engineer,7,"Java, Data Analysis, Electrical Engineering, CAD Design",0.5,,
Greg Wise,49,Operations,Operations Manager,12,"Project Management, Teamwork, Data Analysis, Risk Management, Process Improvement",0.99,,
Johnny Johnson,47,Operations,Operations Manager,12,"Teamwork, Time Management, Data Analysis, Process Improvement, Risk Management, Project Management",0.81,,
Mary Harrison,27,Customer Service,Customer Service Executive,1,"Conflict Resolution, Teamwork",0.94,,
Erik May,29,IT,IT Support,2,"System Administration, Java",0.68,,
Jason Smith,26,Logistics,Logistics Coordinator,1,"Data Analysis, Inventory Management",0.53,,
Judy Ball,46,Operations,Operations Manager,12,"Time Management, Teamwork, Project Management, Risk Management",0.63,,
Ann Boyer,48,Operations,Operations Manager,12,"Teamwork, Project Management, Risk Management, Data Analysis, Time Management, Process Improvement",0.72,,
Alison Cruz,25,Engineering,Junior Engineer,1,Data Analysis,0.61,,
Paula Hammond,35,Operations,Logistics Coordinator,4,"Data Analysis, Project Management, Time Management",0.89,,
Alan Noble,33,Engineering,Engineer,3,"Java, Python, Electrical Engineering",0.83,,
Maria Graves,42,Operations,Operations Manager,9,"Data Analysis, Process Improvement, Risk Management, Project Management",0.64,,
Mindy Thompson,54,Operations,Operations Manager,11,"Project Management, Risk Management, Process Improvement, Time Management, Teamwork",0.86,,
Sheri Obrien,26,Customer Service,Customer Service Executive,2,Conflict Resolution,0.78,,
Jeremy Young,37,Engineering,Senior Engineer,6,"Machine Learning, CAD Design",0.73,,
Benjamin Giles,48,Operations,Operations Manager,8,"Project Management, Time Management, Data Analysis",0.92,,
Stephen Lucas,45,Operations,Operations Manager,8,"Process Improvement, Data Analysis, Project Management",0.76,,
Stefanie Kelley,30,Engineering,Engineer,4,"Machine Learning, Electrical Engineering, Systems Engineering",0.53,,
Michelle Cohen,26,IT,IT Support,1,"System Administration, Python",0.89,,
Elizabeth Campbell,55,Operations,Operations Manager,13,"Data Analysis, Risk Management, Project Management, Process Improvement",0.59,,
Cindy Thomas,28,Logistics,Logistics Coordinator,2,"Communication, Inventory Management",0.77,,
Deborah Webb,29,Customer Service,Customer Service Executive,1,"Customer Relationship Management, Conflict Resolution",0.91,,
Ronald Reeves,35,Engineering,Senior Engineer,7,"Python, Data Analysis, Systems Engineering",0.79,,
Claudia Hendrix,28,Operations,Logistics Coordinator,1,"Process Improvement, Teamwork",0.87,,
Karen Vincent,28,Customer Service,Customer Service Executive,2,Communication,0.93,,
Frank Lee,40,Operations,Operations Manager,9,"Risk Management, Data Analysis, Teamwork",0.89,,
Carmen Thompson,27,IT,IT Support,1,"Java, Cybersecurity",0.74,,
Gregory Cohen,39,Engineering,Senior Engineer,7,"CAD Design, Machine Learning, Electrical Engineering, Python",0.51,,
Matthew Simpson,32,Engineering,Senior Engineer,6,"Java, CAD Design",0.57,,
Joseph Cole,31,Logistics,Logistics Coordinator,3,"Warehouse Management, Communication",0.86,,
Angel Jordan,29,Engineering,Junior Engineer,2,Electrical Engineering,0.88,,
Mark Baker,34,Engineering,Engineer,3,"Data Analysis, Electrical Engineering, CAD Design",0.61,,
Jessica Gilbert,44,Operations,Operations Manager,11,"Project Management, Data Analysis, Process Improvement, Time Management, Teamwork",0.8,,
Alan Lyons,44,Operations,Operations Manager,10,"Risk Management, Project Management, Data Analysis, Teamwork, Time Management, Process Improvement",0.69,,
Eric Mathews,26,Operations,Logistics Coordinator,1,"Data Analysis, Process Improvement",0.84,,
Jonathon Adkins,29,Engineering,Junior Engineer,2,"CAD Design, Electrical Engineering",0.69,,
Marvin Campbell,52,Operations,Operations Manager,11,"Teamwork, Project Management, Risk Management, Data Analysis",0.85,,
Jeffrey Thomas,26,Customer Service,Customer Service Executive,0,Conflict Resolution,0.6,,
Austin Mason,28,Logistics,Logistics Coordinator,2,"Inventory Management, Communication",0.73,,
Gina Wiley,43,Engineering,Senior Engineer,8,"Java, CAD Design, Electrical Engineering, Data Analysis",0.83,,
Patrick Owens,35,Engineering,Senior Engineer,6,"CAD Design, Electrical Engineering, Python",0.92,,
Ashley Stewart,28,Logistics,Logistics Coordinator,1,"Communication, Data Analysis",0.98,,
Ashley Peters,44,Engineering,Senior Engineer,6,"Python, CAD Design, Data Analysis",0.85,,
Tammy Mcintosh,51,Operations,Operations Manager,11,"Time Management, Data Analysis, Risk Management, Project Management, Teamwork, Process Improvement",0.51,,
Christopher Burton,43,Operations,Operations Manager,8,"Teamwork, Time Management, Project Management",0.65,,
Benjamin Edwards,29,IT,IT Support,1,Python,0.86,,
Jessica Jackson,28,Operations,Logistics Coordinator,1,Risk Management,0.9,,
John Graham,41,Engineering,Senior Engineer,9,"Data Analysis, Java, Python",0.88,,
Alan Williams,32,Engineering,Engineer,5,"Python, Machine Learning",0.85,,
Eric Mueller,33,Engineering,Engineer,3,"Systems Engineering, Python",0.77,,
Franklin Charles,42,Operations,Operations Manager,9,"Risk Management, Project Management, Teamwork, Time Management",0.72,,
Michele Wolfe MD,26,Logistics,Logistics Coordinator,2,Networking,0.86,,
Kenneth Boyd MD,47,Operations,Operations Manager,11,"Time Management, Risk Management, Teamwork, Project Management, Process Improvement, Data Analysis",0.78,,
Carol Moon,35,Logistics,Logistics Coordinator,4,"Supply Chain Management, Communication",0.74,,
Melinda Reynolds,37,Engineering,Senior Engineer,6,"Data Analysis, CAD Design",0.68,,
William Diaz,27,Logistics,Logistics Coordinator,2,Inventory Management,0.52,,
Caroline Ellis,42,Engineering,Senior Engineer,9,"Java, Systems Engineering, Electrical Engineering, Machine Learning",0.56,,
Kristina Bailey,28,IT,IT Support,1,"Java, Cloud Computing",0.76,,
Gregg Luna,35,Engineering,Engineer,4,"Data Analysis, Java, Python",0.94,,
Connor Williams,25,Logistics,Logistics Coordinator,1,"Inventory Management, Communication",0.82,,
Hannah Young,54,Operations,Operations Manager,13,"Time Management, Teamwork, Risk Management, Data Analysis, Project Management",0.71,,
Brian Dougherty,30,Logistics,Logistics Coordinator,3,"Supply Chain Management, Networking, Warehouse Management",0.94,,
Michael Jones,39,Engineering,Engineer,4,"Java, Data Analysis, Python",0.89,,
Tammy Erickson,29,Customer Service,Customer Service Executive,1,"Customer Relationship Management, Communication",0.78,,
April Kim,25,Logistics,Logistics Coordinator,1,"Data Analysis, Communication",0.77,,
Seth Jensen,34,Logistics,Logistics Coordinator,3,"Supply Chain Management, Inventory Management",0.57,,
Devon Hernandez,27,Customer Service,Customer Service Executive,1,"Customer Relationship Management, Teamwork",0.86,,
Devin Kane,47,Operations,Operations Manager,12,"Project Management, Data Analysis, Process Improvement, Teamwork, Risk Management",0.9,,
Brooke Ortiz,45,Engineering,Senior Engineer,6,"Systems Engineering, Machine Learning",0.89,,
Nicholas Brown,35,Engineering,Senior Engineer,6,"Python, CAD Design, Java",0.91,,
Jennifer Myers,28,Customer Service,Customer Service Executive,0,"Problem Solving, Conflict Resolution",0.51,,
Kaitlyn Gallagher,29,IT,IT Support,1,"Networking, Cybersecurity",0.74,,
Tanya Smith,28,IT,IT Support,0,Java,0.99,,
Melanie Walker,25,Operations,Logistics Coordinator,2,"Risk Management, Data Analysis",0.54,,
Kylie Mayo,30,Engineering,Engineer,4,"CAD Design, Java",0.54,,
Todd Miller,26,Operations,Logistics Coordinator,2,"Project Management, Data Analysis",0.96,,
Brian Black,41,Engineering,Senior Engineer,6,"Java, Python",0.76,,
James Wells,27,Customer Service,Customer Service Executive,1,"Conflict Resolution, Customer Relationship Management",0.99,,
Lauren Wallace,36,Operations,Operations Manager,7,"Project Management, Time Management, Teamwork, Risk Management",0.6,,
Miranda Taylor,49,Engineering,Senior Engineer,6,"Data Analysis, Machine Learning",0.66,,
Danielle Hall,34,Operations,Logistics Coordinator,3,"Time Management, Data Analysis, Project Management",0.94,,
Megan Parker,35,Engineering,Engineer,3,"Data Analysis, Java",0.79,,
James Salazar,37,Engineering,Engineer,3,"Java, CAD Design, Python",0.76,,
Christopher Perez,25,IT,IT Support,0,"System Administration, Cloud Computing",0.78,,
Leah Chase,33,Engineering,Engineer,4,"Machine Learning, Systems Engineering",0.69,,
Earl Bridges Jr.,33,Engineering,Engineer,3,"Python, Electrical Engineering",0.7,,
Monica Lee DVM,28,Customer Service,Customer Service Executive,1,"Teamwork, Conflict Resolution",0.96,,
Jeffery Walsh,42,Operations,Operations Manager,12,"Time Management, Project Management, Teamwork, Data Analysis, Process Improvement, Risk Management",0.79,,
Karen Ballard,35,Logistics,Logistics Coordinator,4,"Networking, Communication, Warehouse Management",0.9,,
Philip Moreno,53,Operations,Operations Manager,11,"Teamwork, Project Management, Time Management, Data Analysis, Risk Management, Process Improvement",0.98,,
Emma Johnson,30,Operations,Logistics Coordinator,4,"Teamwork, Time Management, Risk Management",0.84,,
Laura Thomas,43,Engineering,Senior Engineer,8,"Electrical Engineering, Java, CAD Design, Data Analysis",0.72,,
Natasha Wilcox,28,Customer Service,Customer Service Executive,1,Conflict Resolution,0.99,,
Carol Stone,31,Engineering,Engineer,4,"Python, Data Analysis",0.62,,
Catherine Aguilar,28,Customer Service,Customer Service Executive,1,Problem Solving,0.71,,
Melissa Holt,31,Operations,Logistics Coordinator,4,"Risk Management, Time Management, Data Analysis",0.6,,
Stacey Grant,29,Customer Service,Customer Service Executive,1,Customer Relationship Management,0.86,,
Kristi Rivas,35,Operations,Logistics Coordinator,4,"Data Analysis, Time Management",0.51,,
Robert Collins,25,Customer Service,Customer Service Executive,1,Customer Relationship Management,0.76,,
Jesse Young,27,Logistics,Logistics Coordinator,1,Inventory Management,0.79,,
Andrew Lowe,30,Logistics,Logistics Coordinator,4,"Supply Chain Management, Warehouse Management",0.52,,
Sandra Gonzalez,36,Engineering,Senior Engineer,7,"Machine Learning, Python, CAD Design, Data Analysis",0.61,,
Abigail Mcbride,33,Operations,Logistics Coordinator,3,"Teamwork, Risk Management, Project Management",0.73,,
Kelsey Soto,36,Engineering,Senior Engineer,7,"Java, Systems Engineering, Machine Learning, Data Analysis",0.51,,
Laura Blackwell,38,Engineering,Senior Engineer,7,"Python, CAD Design, Machine Learning",0.63,,
Curtis Johnson,30,Logistics,Logistics Coordinator,4,"Networking, Inventory Management, Warehouse Management",0.59,,
Joshua Cochran,27,Logistics,Logistics Coordinator,2,Warehouse Management,0.92,,
Susan Bradley,25,IT,IT Support,1,"Cybersecurity, Java",0.99,,
Gina Rice,31,Engineering,Engineer,3,"CAD Design, Electrical Engineering",0.66,,
Kristin Greene,26,Operations,Logistics Coordinator,2,"Time Management, Process Improvement",0.77,,
Thomas Pratt,41,Engineering,Senior Engineer,9,"Data Analysis, CAD Design, Python, Systems Engineering",0.73,,
Janice Coffey,27,Engineering,Junior Engineer,1,"Python, Data Analysis",0.72,,
John Day,32,Operations,Logistics Coordinator,4,"Time Management, Process Improvement, Project Management",0.57,,
Lauren Sanchez,42,Engineering,Senior Engineer,9,"Python, Machine Learning, Java",0.99,,
Kirk Beard,33,Engineering,Engineer,4,"CAD Design, Systems Engineering",0.56,,
Anthony Hall,46,Operations,Operations Manager,10,"Process Improvement, Time Management, Risk Management, Project Management, Teamwork, Data Analysis",0.85,,
Debbie Hill,36,Operations,Logistics Coordinator,4,"Data Analysis, Project Management, Process Improvement",0.89,,
Robin Mitchell,43,Engineering,Senior Engineer,6,"Machine Learning, Java, Python",0.66,,
Katherine Stewart,37,Operations,Logistics Coordinator,3,"Process Improvement, Risk Management",0.9,,
Wanda Smith,36,Engineering,Engineer,3,"Electrical Engineering, Machine Learning",0.83,,
Sarah Gay,29,IT,IT Support,1,Communication,0.67,,
Michael Brown,38,Logistics,Logistics Coordinator,4,"Communication, Supply Chain Management, Networking",0.79,,
Stanley Santos,26,Operations,Logistics Coordinator,1,"Teamwork, Process Improvement",0.7,,
Elizabeth Moore,34,Customer Service,Customer Service Executive,3,"Communication, Problem Solving",0.56,,
Keith Flores,37,Engineering,Engineer,3,"Machine Learning, Data Analysis",0.8,,
Christopher Chambers,53,Operations,Operations Manager,10,"Data Analysis, Time Management, Teamwork, Process Improvement",0.61,,
Corey Beard,53,Operations,Operations Manager,11,"Project Management, Teamwork, Risk Management, Data Analysis",0.62,,
Sarah Anderson,25,Operations,Logistics Coordinator,1,Risk Management,0.85,,
Taylor Smith,27,Logistics,Logistics Coordinator,1,Communication,0.91,,
Todd Clark,26,Operations,Logistics Coordinator,1,Teamwork,0.8,,
Andrew Jacobs,29,IT,IT Support,0,Java,0.95,,
Robin Garcia,33,Engineering,Senior Engineer,7,"Systems Engineering, CAD Design, Java",0.54,,
Sabrina Brock,34,Operations,Operations Manager,7,"Data Analysis, Time Management, Project Management, Risk Management",0.6,,
Timothy Martinez,35,Operations,Operations Manager,7,"Risk Management, Teamwork, Time Management",0.67,,
Nicole Rodriguez,29,Operations,Logistics Coordinator,2,Process Improvement,0.55,,
Jessica Leblanc,46,Engineering,Senior Engineer,9,"CAD Design, Python, Electrical Engineering, Java",0.67,,
Larry Smith,26,IT,IT Support,2,"Java, Communication",0.89,,
Antonio Estes,26,Logistics,Logistics Coordinator,2,Networking,0.71,,
William Patton,41,Operations,Operations Manager,9,"Process Improvement, Data Analysis, Teamwork",0.75,,
Alexa Martinez,39,Engineering,Engineer,3,"Data Analysis, CAD Design, Systems Engineering",0.73,,
Joshua Conley,36,Logistics,Logistics Coordinator,4,"Supply Chain Management, Networking",0.69,,
Peter Wheeler,26,IT,IT Support,0,"Cybersecurity, Java",0.96,,
Jack French,49,Operations,Operations Manager,8,"Teamwork, Project Management, Risk Management, Process Improvement",0.59,,
Shannon Bell DDS,27,IT,IT Support,1,Networking,0.51,,
Gabriela Gutierrez,29,Operations,Logistics Coordinator,2,"Risk Management, Time Management",0.69,,
